ID,Fx,Fy,Fz,Mx,My,Mz,q,qd,qdd
MAX_Fx_Joint0,1698.9780747333336,205.5208033333334,-421.04657231999994,60.903721769349275,314.70849614350766,321.6484909246757,"[-1.5707963267948966, 1.5707963267948966, -3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fx_Joint0,-1647.311102977324,-290.24244216306204,-895.7832178646418,42.70282609781286,91.44621824002493,-104.01452617512629,"[-1.5707963267948966, -1.0471975511965976, 3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MAX_Fy_Joint0,588.40809,1024.2529114000001,160.96506641333323,-668.7948827769145,308.42914326741413,-261.2121719254966,"[-1.5707963267948966, 1.5707963267948966, -1.5707963267948966, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, 8.0, -8.0]"
MIN_Fy_Joint0,-118.01349711270674,-1201.4210647637121,-1685.0459489407403,-410.7418789900314,-348.2151475526756,237.10603097076805,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MAX_Fz_Joint0,726.6568580849133,-1081.2975630895394,1142.8977989407404,871.3066787162085,334.87656711409005,-77.9198409150357,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, -1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, 4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MIN_Fz_Joint0,408.51808363211205,-1090.9608223301857,-1685.0459489407406,-449.7427691965736,-201.71470266097936,-98.55291299655508,"[-1.5707963267948966, 0.26179938779914935, -3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, 4.66, -4.66, 5.2]","[5.0, -5.0, -6.0, -7.0, -8.0, -8.0]"
MAX_Mx_Joint0,203.3510028872929,-1201.421064763712,588.5199909674069,916.8169287380547,242.27151808542067,255.37223587905552,"[-1.5707963267948966, 0.26179938779914935, 3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, 4.66, -5.2]","[-5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
MIN_Mx_Joint0,616.92529,1024.2529114,715.3428743866665,-755.033224974329,521.0875528623275,-238.14638085222512,"[-1.5707963267948966, 1.5707963267948966, -1.5707963267948966, -1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, -3.1, -3.1, -4.66, 4.66, -5.2]","[-5.0, -5.0, 6.0, -7.0, -8.0, -8.0]"
MAX_My_Joint0,1256.686244784668,-292.5182463966455,474.6993109061186,342.4482123803478,852.0619530715209,-53.80841735199609,"[-1.5707963267948966, 0.9162978572970228, 3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[-5.0, -5.0, -6.0, 7.0, -8.0, 8.0]"
MIN_My_Joint0,-1347.7816378294785,-117.30902482972893,306.35567573150547,198.67806841847153,-832.9081918985597,-5.962458375560656,"[-1.5707963267948966, -1.0471975511965976, -3.141592653589793, 1.5707963267948966, 0.0, -3.141592653589793]","[-3.1, 3.1, 3.1, -4.66, -4.66, 5.2]","[5.0, 5.0, 6.0, -7.0, 8.0, -8.0]"
